Datum	05.11.10	
Uhrzeit	12:48:26	
Probenkennz.	HDPE	
Probenhšhe a0	4	mm
Probenbreite b0	10,1	mm
LŠnge l0	70	mm
Probenhšhe aU NACH dem Versuch	1	mm
Probenbreite bU NACH dem Versuch	4,5	mm
LŠnge lU NACH dem Versuch	99,6	mm
Geschwindigkeit	20	mm/min
Kraftmaximum	1281,42	N
Standardweg	Standardkraft	
mm	N	
14,2933	1281,16	
14,3066	1281,22	
14,32	1281,16	
14,3342	1281,12	
14,3534	1281,16	
14,3667	1281,16	
14,38	1281,09	
14,3933	1281,06	
14,4066	1281,03	
14,42	1281,09	
14,4333	1281,09	
14,4467	1281,09	
14,46	1281,12	
14,4733	1281,09	
14,4867	1281,03	
14,5	1281,03	
14,5134	1280,96	
14,5267	1280,89	
14,54	1280,83	
14,5534	1280,83	
14,5667	1280,73	
14,58	1280,73	
14,5933	1280,73	
14,6067	1280,7	
14,62	1280,7	
14,6334	1280,73	
14,6466	1280,73	
14,66	1280,76	
14,6733	1280,73	
14,6866	1280,66	
14,7	1280,66	
14,7134	1280,5	
14,7267	1280,5	
14,74	1280,56	
14,7534	1280,53	
14,7667	1280,53	
14,78	1280,43	
14,7933	1280,5	
14,8067	1280,4	
14,8201	1280,43	
14,8334	1280,37	
14,8467	1280,3	
14,8599	1280,4	
14,88	1280,37	
14,8933	1280,27	
14,9066	1280,17	
14,92	1280,1	
14,9334	1280,04	
14,9467	1280	
14,96	1280	
14,9733	1279,97	
14,9867	1279,97	
15	1279,87	
15,02	1279,87	
15,0333	1279,84	
15,0467	1279,84	
15,06	1279,81	
15,0733	1279,91	
15,0867	1279,84	
15,1	1279,77	
15,1134	1279,77	
15,1267	1279,74	
15,1408	1279,61	
15,16	1279,51	
15,1733	1279,48	
15,1867	1279,44	
15,2001	1279,34	
15,2133	1279,28	
15,2267	1279,21	
15,24	1279,21	
15,2533	1279,25	
15,2667	1279,28	
15,28	1279,28	
15,2933	1279,18	
15,3066	1279,15	
15,32	1278,98	
15,3333	1278,95	
15,3467	1278,88	
15,36	1278,78	
15,3733	1278,75	
15,3868	1278,69	
15,4	1278,72	
15,4133	1278,65	
15,4266	1278,59	
15,44	1278,52	
15,4533	1278,52	
15,4667	1278,49	
15,48	1278,49	
15,4933	1278,42	
15,5067	1278,32	
15,5199	1278,29	
15,5333	1278,16	
15,5466	1278,09	
15,5667	1278,09	
15,5801	1278,06	
15,5933	1277,99	
15,6067	1277,96	
15,62	1277,99	
15,6333	1277,83	
15,6467	1277,8	
15,66	1277,76	
15,6734	1277,76	
15,6867	1277,63	
15,7	1277,6	
15,7133	1277,5	
15,7267	1277,33	
15,7408	1277,27	
15,7533	1277,24	
15,7667	1277,24	
15,7867	1277,2	
15,8	1277,1	
15,8133	1277,04	
15,8267	1276,91	
15,84	1276,87	
15,8534	1276,84	
15,8667	1276,71	
15,88	1276,64	
15,8933	1276,44	
15,9066	1276,41	
15,92	1276,38	
15,9333	1276,35	
15,9467	1276,31	
15,96	1276,28	
15,9733	1276,25	
15,9866	1276,15	
16	1276,02	
16,0133	1275,98	
16,0267	1275,82	
16,04	1275,79	
16,0534	1275,69	
16,0667	1275,59	
16,08	1275,52	
16,0933	1275,52	
16,1067	1275,46	
16,12	1275,36	
16,1334	1275,19	
16,1467	1275,16	
16,16	1275,13	
16,1733	1275,03	
16,1866	1274,93	
16,2	1274,76	
16,2133	1274,8	
16,2267	1274,63	
16,24	1274,57	
16,2534	1274,5	
16,2667	1274,43	
16,28	1274,37	
16,2933	1274,27	
16,3067	1274,17	
16,32	1274,07	
16,3334	1274,01	
16,3534	1273,94	
16,3666	1273,71	
16,3799	1273,64	
16,3933	1273,61	
16,4067	1273,54	
16,42	1273,51	
16,4334	1273,45	
16,4467	1273,31	
16,46	1273,21	
16,4733	1273,12	
16,4867	1273,02	
16,5	1272,85	
16,5134	1272,75	
16,5267	1272,65	
16,54	1272,59	
16,5533	1272,52	
16,5666	1272,49	
16,58	1272,39	
16,5933	1272,32	
16,6067	1272,26	
16,62	1272,23	
16,6333	1272,09	
16,6466	1271,96	
16,66	1271,83	
16,6733	1271,76	
16,6867	1271,6	
16,7001	1271,5	
16,7134	1271,4	
16,7267	1271,34	
16,74	1271,34	
