Probenkennz.	Baustahl	
Datum	02.08.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	4251,6396	N
Probenhoehe a0	1	mm
Probenbreite b0	12,96	mm
Laenge l0	70	mm
Probenhoehe a0 NACH ZUGVERSUCH	0,8	mm
Probenbreite b0 NACH ZUGVERSUCH	8,84	mm
Laenge l0 NACH ZUGVERSUCH	85,84	mm
Standardweg	Standardkraft	
mm	N	
7,94661	4204,68696	
7,96061	4205,0052	
7,96999	4205,25	
7,9793	4205,40912	
7,98861	4205,60496	
7,99792	4205,89872	
8,0073	4206,13128	
8,01661	4206,4128	
8,02599	4206,58416	
8,03586	4207,18392	
8,04461	4207,74696	
8,05399	4208,31	
8,0633	4208,87304	
8,07261	4209,39936	
8,08199	4209,52176	
8,0913	4209,60744	
8,10061	4209,68088	
8,10999	4209,60744	
8,1193	4209,80328	
8,12917	4210,29288	
8,13792	4210,64784	
8,1473	4211,05176	
8,15661	4211,50464	
8,16599	4212,26352	
8,1753	4212,78984	
8,18461	4212,99792	
8,19392	4213,15704	
8,2033	4213,47528	
8,21324	4213,7568	
8,22199	4213,7568	
8,2313	4213,84248	
8,24061	4213,84248	
8,24992	4213,96488	
8,2593	4214,2464	
8,26861	4214,93184	
8,27799	4215,61728	
8,2873	4216,05792	
8,29668	4216,37616	
8,31061	4216,82904	
8,31992	4217,11056	
8,3293	4217,35536	
8,33861	4217,51448	
8,34792	4217,4288	
8,3573	4217,5512	
8,36668	4217,58792	
8,37599	4217,83272	
8,3853	4218,19992	
8,39461	4218,9588	
8,40392	4219,60752	
8,41799	4220,17056	
8,4273	4220,29296	
8,43661	4220,53776	
8,44599	4220,66016	
8,4553	4220,66016	
8,46461	4220,90496	
8,47392	4221,18648	
8,4833	4221,18648	
8,49268	4221,38232	
8,50199	4221,78624	
8,5113	4222,22688	
8,52061	4222,67976	
8,52999	4222,998	
8,5393	4223,3652	
8,54868	4223,68344	
8,55799	4223,72016	
8,5673	4223,92824	
8,57661	4223,96496	
8,58592	4224,12408	
8,59586	4224,24648	
8,60461	4224,49128	
8,61868	4224,8952	
8,62799	4225,17672	
8,6373	4225,42152	
8,64661	4225,94784	
8,65592	4226,26608	
8,6653	4226,5476	
8,67461	4226,95152	
8,68392	4227,07392	
8,6933	4227,07392	
8,70268	4227,14736	
8,71255	4227,47784	
8,7213	4227,60024	
8,73537	4228,0776	
8,74468	4228,48152	
8,75399	4228,64064	
8,7633	4228,6896	
8,77261	4228,812	
8,78192	4229,13024	
8,79123	4229,6076	
8,80054	4229,81568	
8,81055	4230,01152	
8,8193	4230,0972	
8,82868	4230,18288	
8,83799	4230,18288	
8,8473	4230,342	
8,85661	4230,74592	
8,86599	4231,02744	
8,8753	4231,3824	
8,88461	4231,59048	
8,89399	4231,59048	
8,9033	4231,78632	
8,91261	4231,90872	
8,92192	4232,08008	
8,9313	4232,1168	
8,9453	4232,39832	
8,95461	4232,64312	
8,96392	4232,80224	
8,9733	4233,12048	
8,98261	4233,56112	
8,99199	4233,80592	
9,0013	4233,85488	
9,01061	4233,92832	
9,02055	4234,08744	
9,0293	4234,17312	
9,03861	4234,20984	
9,04792	4234,45464	
9,0573	4234,73616	
9,06668	4234,89528	
9,07599	4235,14008	
9,0853	4235,4216	
9,09461	4235,50728	
9,10399	4235,70312	
9,11386	4236,26616	
9,12261	4236,79248	
9,13199	4237,11072	
9,1413	4237,074	
9,15061	4237,00056	
9,15999	4236,91488	
9,1693	4236,75576	
9,17861	4236,91488	
9,18792	4237,11072	
9,1973	4237,3188	
9,20668	4237,75944	
9,21655	4238,20008	
9,2253	4238,37144	
9,23461	4238,40816	
9,24392	4238,604	
9,25323	4238,8488	
9,26261	4239,05688	
9,27199	4238,89776	
9,2813	4238,81208	
9,29061	4238,77536	
9,29999	4238,68968	
9,3093	4238,77536	
9,31861	4239,17928	
9,33261	4239,86472	
9,34199	4240,30536	
9,3513	4240,58688	
9,36061	4240,746	
9,36992	4240,78272	
9,3793	4240,8684	
9,38861	4240,78272	
9,39792	4240,70928	
9,4073	4240,5012	
9,41724	4240,46448	
9,42599	4240,70928	
9,4353	4240,9908	
9,44461	4241,43144	
9,45399	4241,95776	
9,4633	4242,32496	
9,47268	4242,44736	
9,48199	4242,44736	
9,4913	4242,48408	
9,50061	4242,3984	
9,50992	4242,3984	
9,51986	4242,5208	
9,52861	4242,55752	
9,54268	4242,3984	
9,55199	4242,55752	
9,5613	4242,7656	
9,57061	4242,96144	
9,57992	4243,45104	
9,5893	4244,01408	
9,59868	4244,09976	
9,60799	4244,09976	
9,6173	4243,97736	
9,62668	4243,89168	
9,63599	4243,9284	
9,6453	4243,9284	
9,65461	4244,09976	
9,66399	4244,418	
9,6733	4244,6628	
9,68268	4244,73624	
9,69192	4244,9076	
9,7013	4245,06672	
9,71054	4245,34824	
9,72055	4245,54408	
9,7293	4245,66648	
9,73861	4245,66648	
9,74799	4245,50736	
9,7573	4245,31152	
9,76661	4245,31152	
9,77599	4245,47064	
9,7853	4246,03368	
9,79461	4246,51104	
9,80392	4246,63344	
9,81337	4246,51104	
